Pos { x: 91, y: 69 }, Pos { x: 91, y: 68 }, Up(Dir { dx: 0, dy: -1 }), 1
Pos { x: 91, y: 68 }, Pos { x: 91, y: 67 }, Up(Dir { dx: 0, dy: -1 }), 2
Pos { x: 91, y: 67 }, Pos { x: 91, y: 66 }, Up(Dir { dx: 0, dy: -1 }), 3
Pos { x: 91, y: 66 }, Pos { x: 91, y: 65 }, Up(Dir { dx: 0, dy: -1 }), 4
Pos { x: 91, y: 65 }, Pos { x: 91, y: 64 }, Up(Dir { dx: 0, dy: -1 }), 5
Pos { x: 91, y: 64 }, Pos { x: 91, y: 63 }, Up(Dir { dx: 0, dy: -1 }), 6
Pos { x: 91, y: 63 }, Pos { x: 91, y: 62 }, Up(Dir { dx: 0, dy: -1 }), 7
Pos { x: 91, y: 62 }, Pos { x: 91, y: 61 }, Up(Dir { dx: 0, dy: -1 }), 8
Pos { x: 91, y: 61 }, Pos { x: 91, y: 60 }, Up(Dir { dx: 0, dy: -1 }), 9
Pos { x: 91, y: 60 }, Pos { x: 91, y: 59 }, Up(Dir { dx: 0, dy: -1 }), 10
Pos { x: 91, y: 59 }, Pos { x: 91, y: 58 }, Up(Dir { dx: 0, dy: -1 }), 11
Pos { x: 91, y: 58 }, Pos { x: 91, y: 57 }, Up(Dir { dx: 0, dy: -1 }), 12
Pos { x: 91, y: 57 }, Pos { x: 91, y: 56 }, Up(Dir { dx: 0, dy: -1 }), 13
Pos { x: 91, y: 56 }, Pos { x: 91, y: 55 }, Up(Dir { dx: 0, dy: -1 }), 14
Pos { x: 91, y: 55 }, Pos { x: 91, y: 54 }, Up(Dir { dx: 0, dy: -1 }), 15
Pos { x: 91, y: 54 }, Pos { x: 91, y: 53 }, Up(Dir { dx: 0, dy: -1 }), 16
Pos { x: 91, y: 53 }, Pos { x: 91, y: 52 }, Up(Dir { dx: 0, dy: -1 }), 17
Pos { x: 91, y: 52 }, Pos { x: 91, y: 51 }, Up(Dir { dx: 0, dy: -1 }), 18
Pos { x: 91, y: 51 }, Pos { x: 91, y: 50 }, Up(Dir { dx: 0, dy: -1 }), 19
Pos { x: 91, y: 50 }, Pos { x: 91, y: 49 }, Up(Dir { dx: 0, dy: -1 }), 20
Pos { x: 91, y: 49 }, Pos { x: 91, y: 48 }, Up(Dir { dx: 0, dy: -1 }), 21
Pos { x: 91, y: 48 }, Pos { x: 91, y: 47 }, Up(Dir { dx: 0, dy: -1 }), 22
Pos { x: 91, y: 47 }, Pos { x: 91, y: 46 }, Up(Dir { dx: 0, dy: -1 }), 23
Pos { x: 91, y: 46 }, Pos { x: 91, y: 45 }, Up(Dir { dx: 0, dy: -1 }), 24
